epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0854,1.70998,2.7099,2.29131,0.00333,1,0.53309,0.19781,0.99753,3.42345,2.12407,2e-05,2e-05,2e-05
2,15.8255,1.44773,2.69612,2.00856,0.00333,1,0.63286,0.277,1.02287,3.35135,2.07151,5.8812e-05,5.8812e-05,5.8812e-05
3,20.1528,1.48299,2.52758,1.99748,0.00333,1,0.75412,0.41448,0.96675,3.34693,1.99335,9.604e-05,9.604e-05,9.604e-05
4,25.4473,1.27969,2.52982,1.78703,0.00333,1,0.88554,0.56135,0.9366,3.27542,1.87399,0.000131684,0.000131684,0.000131684
5,31.378,1.12524,2.22072,1.54082,0.00333,1,0.97297,0.64952,0.90144,3.34829,1.83481,0.000165744,0.000165744,0.000165744
6,50.2181,1.01189,2.03648,1.45891,0.00333,1,0.995,0.68628,0.83316,3.27827,1.73718,0.00019822,0.00019822,0.00019822
7,57.2123,0.93219,1.72944,1.37053,0.00333,1,0.995,0.71929,0.76317,3.1486,1.56747,0.000229112,0.000229112,0.000229112
8,64.5602,0.97373,1.63744,1.47048,0.00333,1,0.995,0.70615,0.77728,3.01167,1.4009,0.00025842,0.00025842,0.00025842
9,92.0756,0.83907,1.4078,1.26715,0.00333,1,0.995,0.7389,0.77238,2.88887,1.43123,0.000286144,0.000286144,0.000286144
10,97.559,1.04696,1.29573,1.42319,0.00333,1,0.995,0.7398,0.68167,2.89776,1.32653,0.000312284,0.000312284,0.000312284
11,103.659,0.91226,1.06845,1.31764,0.00333,1,0.9875,0.74886,0.65038,2.84819,1.27941,0.00033684,0.00033684,0.00033684
12,109.214,0.79556,1.18331,1.22284,0.00333,1,0.9875,0.74886,0.65038,2.84819,1.27941,0.000359812,0.000359812,0.000359812
13,113.134,1.01248,1.37998,1.45048,0.00333,1,0.995,0.79029,0.61805,2.77225,1.20913,0.0003812,0.0003812,0.0003812
14,117.251,0.90878,1.11745,1.3605,0.95261,1,0.995,0.6762,0.8638,2.6457,1.53149,0.000401004,0.000401004,0.000401004
15,121.448,0.95093,1.50637,1.45766,0.95261,1,0.995,0.6762,0.8638,2.6457,1.53149,0.000419224,0.000419224,0.000419224
16,126.642,1.13767,1.17537,1.47034,1,0.92976,0.995,0.60674,1.0921,2.42899,1.89075,0.00043586,0.00043586,0.00043586
17,130.984,0.86677,1.18718,1.31077,1,0.9104,0.995,0.72476,0.94976,2.45126,1.68112,0.000450912,0.000450912,0.000450912
18,136.14,0.9374,1.29401,1.35688,1,0.9104,0.995,0.72476,0.94976,2.45126,1.68112,0.00046438,0.00046438,0.00046438
19,142.08,0.77215,1.06579,1.24471,1,0.9252,0.995,0.79848,0.84516,2.55634,1.45177,0.000476264,0.000476264,0.000476264
20,146.681,0.94937,1.2381,1.56851,1,0.9252,0.995,0.79848,0.84516,2.55634,1.45177,0.000486564,0.000486564,0.000486564
21,151.671,1.04002,1.38498,1.42849,1,0.99066,0.995,0.8175,0.64127,2.30713,1.2383,0.00049528,0.00049528,0.00049528
22,156.194,0.76645,1.16078,1.4628,1,0.99066,0.995,0.8175,0.64127,2.30713,1.2383,0.000502412,0.000502412,0.000502412
23,160.512,0.73654,1.21314,1.25532,0.97918,1,0.995,0.82278,0.60846,1.97829,1.1843,0.00050796,0.00050796,0.00050796
24,164.824,0.80036,0.97573,1.25815,0.97918,1,0.995,0.82278,0.60846,1.97829,1.1843,0.000511924,0.000511924,0.000511924
25,170.37,0.90548,0.98483,1.27796,0.99539,1,0.995,0.72599,0.79735,1.88834,1.46378,0.000514304,0.000514304,0.000514304
26,176.336,0.7574,1.24909,1.30682,0.99539,1,0.995,0.72599,0.79735,1.88834,1.46378,0.0005151,0.0005151,0.0005151
27,181.177,0.83502,1.08794,1.38854,0.99539,1,0.995,0.72599,0.79735,1.88834,1.46378,0.000514312,0.000514312,0.000514312
28,185.384,0.74284,0.92751,1.19922,0.99215,1,0.995,0.80149,0.76589,1.78808,1.46249,0.00051194,0.00051194,0.00051194
29,189.551,0.80666,1.01944,1.18498,0.99215,1,0.995,0.80149,0.76589,1.78808,1.46249,0.000507984,0.000507984,0.000507984
30,193.763,0.86797,0.96844,1.28237,0.9936,1,0.995,0.84133,0.63637,1.66362,1.31678,0.000502444,0.000502444,0.000502444
31,198.375,0.65927,0.97318,1.16497,0.9936,1,0.995,0.84133,0.63637,1.66362,1.31678,0.00049532,0.00049532,0.00049532
32,202.774,1.00439,1.31128,1.52388,0.9936,1,0.995,0.84133,0.63637,1.66362,1.31678,0.000486612,0.000486612,0.000486612
33,207.288,0.81943,0.91529,1.29632,0.99332,1,0.995,0.86951,0.65962,1.6823,1.35411,0.00047632,0.00047632,0.00047632
34,211.822,0.67375,0.84316,1.11205,0.99332,1,0.995,0.86951,0.65962,1.6823,1.35411,0.000464444,0.000464444,0.000464444
35,216.082,0.7265,0.95541,1.1414,0.99332,1,0.995,0.86951,0.65962,1.6823,1.35411,0.000450984,0.000450984,0.000450984
36,220.366,0.72298,0.95815,1.08941,0.992,1,0.995,0.83799,0.63721,1.67312,1.24999,0.00043594,0.00043594,0.00043594
37,224.977,0.61195,0.87739,1.08362,0.992,1,0.995,0.83799,0.63721,1.67312,1.24999,0.000419312,0.000419312,0.000419312
38,229.131,0.59436,0.95896,1.12927,0.992,1,0.995,0.83799,0.63721,1.67312,1.24999,0.0004011,0.0004011,0.0004011
39,233.267,0.60611,1.03692,1.27125,0.99378,1,0.995,0.86383,0.6086,1.57893,1.12924,0.000381304,0.000381304,0.000381304
40,237.549,0.74546,0.89199,1.1887,0.99378,1,0.995,0.86383,0.6086,1.57893,1.12924,0.000359924,0.000359924,0.000359924
41,242.186,0.65426,1.56373,1.34848,0.99378,1,0.995,0.86383,0.6086,1.57893,1.12924,0.00033696,0.00033696,0.00033696
42,246.765,0.66945,1.68588,1.12343,0.99379,1,0.995,0.85188,0.64128,1.50308,1.19655,0.000312412,0.000312412,0.000312412
43,251.379,0.48509,1.54195,1.16609,0.99379,1,0.995,0.85188,0.64128,1.50308,1.19655,0.00028628,0.00028628,0.00028628
44,255.909,0.65659,1.54076,1.3016,0.99379,1,0.995,0.85188,0.64128,1.50308,1.19655,0.000258564,0.000258564,0.000258564
45,260.2,0.67046,1.52308,1.38582,0.99379,1,0.995,0.85188,0.64128,1.50308,1.19655,0.000229264,0.000229264,0.000229264
46,264.781,0.51879,1.37874,1.15715,0.99435,1,0.995,0.85925,0.61039,1.4419,1.15557,0.00019838,0.00019838,0.00019838
47,270.226,0.44147,1.4136,1.10435,0.99435,1,0.995,0.85925,0.61039,1.4419,1.15557,0.000165912,0.000165912,0.000165912
48,274.294,0.49437,1.42204,1.21815,0.99435,1,0.995,0.85925,0.61039,1.4419,1.15557,0.00013186,0.00013186,0.00013186
49,278.444,0.54757,1.33111,1.16448,0.99435,1,0.995,0.85925,0.61039,1.4419,1.15557,9.6224e-05,9.6224e-05,9.6224e-05
50,282.724,0.51801,1.59895,1.19853,0.99474,1,0.995,0.90259,0.55873,1.36934,1.07945,5.9004e-05,5.9004e-05,5.9004e-05
